DateTime,Sum of Højeste 10 min. middel,Sum of Højeste vindstød,Sum of Middel vindhastighed
2023-05-16 09:00:00,7,10.6,6.3
2023-05-16 10:00:00,8.2,12.9,7.1
2023-05-16 11:00:00,8.2,12.4,7.3
2023-05-16 12:00:00,8.6,13.1,7.6
2023-05-16 13:00:00,9.4,13.7,8.2
2023-05-16 14:00:00,10,14.5,8.4
2023-05-16 15:00:00,9.9,14.6,8.8
2023-05-16 16:00:00,10,14.2,8.7
2023-05-16 17:00:00,10.8,15.4,9.5
2023-05-16 18:00:00,10.2,14.7,9
2023-05-16 19:00:00,10.4,14.9,9.2
2023-05-16 20:00:00,9.8,13.9,8.6
2023-05-16 21:00:00,9.8,14.9,8.7
2023-05-16 22:00:00,9.8,14.4,8.5
2023-05-16 23:00:00,10.3,15.4,8.8
2023-05-17 00:00:00,11.3,16.5,9.6
2023-05-17 01:00:00,10.3,16,9
2023-05-17 02:00:00,10.4,15.5,8.9
2023-05-17 03:00:00,11.3,17.5,9.2
2023-05-17 04:00:00,9.7,15.8,8.3
2023-05-17 05:00:00,10.3,16.5,9
2023-05-17 06:00:00,10.6,15.9,9.4
2023-05-17 07:00:00,10.4,15.7,9.2
2023-05-17 08:00:00,10.8,17.5,9.6
2023-05-17 09:00:00,11.3,17.5,10
2023-05-17 10:00:00,12.4,18,10.5
2023-05-17 11:00:00,11.8,18,10.6
2023-05-17 12:00:00,10.8,16.5,9.5
2023-05-17 13:00:00,10,14.4,9.2
2023-05-17 14:00:00,10.8,14.9,8.9
2023-05-17 15:00:00,9.6,14,8.5
2023-05-17 16:00:00,9.2,13.4,8.4
2023-05-17 17:00:00,9.3,13.4,8.4
2023-05-17 18:00:00,9.3,13.4,8.4
2023-05-17 19:00:00,8.8,11.8,7.4
2023-05-17 20:00:00,8.8,12.4,7
2023-05-17 21:00:00,6.9,10.4,6.1
2023-05-17 22:00:00,6.4,9.3,5.1
2023-05-17 23:00:00,5.1,8.2,4.2
2023-05-18 00:00:00,4.7,7.2,3.8
2023-05-18 01:00:00,5.3,8.8,3.8
2023-05-18 02:00:00,5.1,7.7,3.4
2023-05-18 03:00:00,4.4,8.2,3.7
2023-05-18 04:00:00,4.1,5.7,2.9
2023-05-18 05:00:00,3.2,5.1,2.4
2023-05-18 06:00:00,2.6,3.4,2
2023-05-18 07:00:00,3.1,4.1,2.4
2023-05-18 08:00:00,4.6,6.2,3.2
2023-05-18 09:00:00,4.5,7,3.6
2023-05-18 10:00:00,4.4,7,3.8
2023-05-18 11:00:00,4.5,7.1,3.7
2023-05-18 12:00:00,5.1,8.8,4.2
2023-05-18 13:00:00,4.6,9.3,4
2023-05-18 14:00:00,4.3,8.8,3.5
2023-05-18 15:00:00,4.3,7.2,3.2
2023-05-18 16:00:00,4.4,7.7,3.6
2023-05-18 17:00:00,4.5,7.2,3.6
2023-05-18 18:00:00,4.5,7.7,3.5
2023-05-18 19:00:00,5.7,8.2,4.4
2023-05-18 20:00:00,5.7,8.2,4.6
2023-05-18 21:00:00,4.6,7.2,4
2023-05-18 22:00:00,3.6,5.1,3.1
2023-05-18 23:00:00,3.1,5.7,2.3
2023-05-19 00:00:00,2.6,4.6,2.1
2023-05-19 01:00:00,2.1,3.1,1.7
2023-05-19 02:00:00,1.5,2,0.8
2023-05-19 03:00:00,1.4,2.2,0.8
2023-05-19 04:00:00,1.8,2.6,1.2
2023-05-19 05:00:00,1.8,2.2,0.8
2023-05-19 06:00:00,1.5,1.9,0.7
2023-05-19 07:00:00,1.6,1.9,0.9
2023-05-19 08:00:00,2.1,3.1,1.3
2023-05-19 09:00:00,2.4,3.5,1.9
2023-05-19 10:00:00,2.4,4.3,1.5
2023-05-19 11:00:00,3.1,5.7,2
2023-05-19 12:00:00,3.9,6.7,2.7
2023-05-19 13:00:00,4,7.2,3
2023-05-19 14:00:00,4.4,6.8,3.4
2023-05-19 15:00:00,4.8,7.7,3.9
2023-05-19 16:00:00,6.7,9.3,4.4
2023-05-19 17:00:00,6.2,9.8,5
2023-05-19 18:00:00,5.7,8.8,4.2
2023-05-19 19:00:00,5.1,7.2,4.1
2023-05-19 20:00:00,4.6,6.2,3.7
2023-05-19 21:00:00,3.7,5.2,2.9
2023-05-19 22:00:00,3,3.8,2.1
2023-05-19 23:00:00,2.4,3.2,1.8
